record_id,title,authors,year,doi,article_section,evidence_role,democracy_dimension,scenario_link,claim_supported,appraisal_tool,appraisal_rating,parameter_effect
R000173,Elecciones Generales Perú 2021: claves para diseccionar las elecciones del Bicentenario,Henry Ayala Abril,2021,10.53557/elecciones.2021.v20n21.14,Resultados y discusión,contexto electoral subnacional,proceso_electoral,continuidad,Las elecciones regionales y municipales aportan contexto a la trayectoria institucional reciente.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000174,Elecciones Internas Perú 2022: abriendo la “caja negra” de los datos electorales,Narda Carranza Pinedo,2022,10.53557/elecciones.2022.v21n23.11,Resultados y discusión,contexto electoral nacional,proceso_electoral,continuidad,El proceso electoral de 2021 permite contextualizar la competencia política peruana.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000205,Reelección presidencial y retroceso democrático en América Latina,"Torrico Terán, Mario Alejandro",2024,,Discusión,reelección y retroceso comparado,funcionamiento_gobierno,restrictivo,La concentración ejecutiva y la reelección pueden asociarse con retroceso democrático.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000248,Creating Composite Indicators with DEA and Robustness Analysis: the case of the Technology Achievement Index,A. Saltelli; Wim Moesen; R. Liska; Tom Van Puyenbroeck; Michaela Saisana; Laurens Cherchye; Nicky Rogge; S. Tarantola,2006,10.1057/palgrave.jors.2602445,Métodos y limitaciones,robustez de indicadores compuestos,sensibilidad,transversal,Los indicadores compuestos requieren análisis de sensibilidad a reglas de agregación.,METHOD_RELEVANCE,alta,none; bibliographic evidence does not modify model parameters automatically
R000271,Métodos de prospectiva estratégica y participación local en el análisis de estudios de futuro en áreas naturales protegidas,"de los Ángeles La Torre-Cuadros, M.; Fernando Díaz del Olmo; Alexis Nicolás Ibáñez Blancas; Ibáñez Blancas, Alexis Nicolás; Blancas, A.N.I.; María de los Ángeles La Torre-Cuadros; La Torre-Cuadros, María de los Ángeles; Díaz del Olmo, Fernando; del Olmo, F.D.",2023,10.3989/estgeogr.2023131.131,Métodos,diseño de escenarios,prospectiva,transversal,La prospectiva estratégica permite organizar escenarios exploratorios sin atribuirles probabilidad.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000361,Supermajority rules in constitutional courts and democratic backsliding: a comparative analysis,Rivera León M.A.,2026,10.1080/13642987.2026.2711681,Discusión,tribunales y retroceso,funcionamiento_gobierno,restrictivo,Los cambios en supermayorías y controles judiciales pueden facilitar retrocesos institucionales.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000543,Mi comprensión de la democracia: un resumen,Przeworski A.,2026,10.24201/es.2026v44.e3079,Introducción,definición de democracia,conceptual,transversal,"La democracia se delimita como competencia, participación y restricciones al poder.",AACODS,alta,none; bibliographic evidence does not modify model parameters automatically
R000645,"Profissionais da justiça e da segurança pública, conservadorismo e erosão democrática",Maria da Gloria Bonelli,2026,10.1590/scielopreprints.17594,Discusión,"justicia, seguridad y erosión",funcionamiento_gobierno,restrictivo,La actuación de élites jurídicas y de seguridad es relevante para los contrapesos democráticos.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000059,La calidad de la democracia en el Perú y en América Latina,Martín Tanaka; Catalina Romero; Alberto Adrianzén; Steven Levitsky,2011,10.18800/9789972429774.009,Introducción y discusión,trayectoria peruana de calidad democrática,medición_multidimensional,transversal,La calidad democrática peruana debe leerse dentro de su trayectoria institucional y regional.,AACODS,alta,none; bibliographic evidence does not modify model parameters automatically
R000065,Luces y sombras de la calidad de la democracia en América Latina,Manuel Alcántara Saéz,2007,10.35292/ropj.v2i2.154,Métodos y limitaciones,comparación de índices,medición_multidimensional,transversal,"Los índices de democracia difieren en concepto, fuentes y agregación.",METHOD_RELEVANCE,alta,none; bibliographic evidence does not modify model parameters automatically
R000071,DESCONSOLIDAÇÃO DEMOCRÁTICA NA AMÉRICA LATINA,Fidel Terenciano,2018,10.2307/j.ctvn96fr4.11,Introducción y discusión,desconsolidación latinoamericana,contexto_regional,restrictivo,La desconsolidación democrática latinoamericana ofrece el marco regional del caso peruano.,AACODS,alta,none; bibliographic evidence does not modify model parameters automatically
R000072,"Democracia, desigualdades e corrupção: uma análise da qualidade democrática na América latina.",Maria Salete Souza de Amorim,2015,10.5902/2236672521590,Discusión,desigualdad y corrupción,funcionamiento_gobierno,continuidad,Desigualdad y corrupción condicionan desempeño institucional y apoyo democrático.,MMAT_2018,moderada,none; bibliographic evidence does not modify model parameters automatically
R000074,La controvertida democracia representativa,Hugo Quiroga,2019,10.2307/j.ctvt6rkct.17,Introducción,democracia representativa,conceptual,transversal,"La democracia representativa combina autorización electoral, control y rendición de cuentas.",AACODS,alta,none; bibliographic evidence does not modify model parameters automatically
R000097,"Representatividad, participación y política: nuevo foco para el viejo debate sobre la función pública en América Latina",Mercedes Iacovello,2012,10.35247/buengob_12_05,Discusión,función pública y representación,funcionamiento_gobierno,recuperacion,La capacidad administrativa y la representación deben diferenciarse analíticamente.,MMAT_2018,moderada,none; bibliographic evidence does not modify model parameters automatically
R000103,Notas introductorias sobre el populismo y la cultura política en el área andina de América Latina,H.C.F. Mansilla,2009,10.4013/csu.2009.45.2.02,Introducción y discusión,populismo y cultura política andina,cultura_politica,restrictivo,La cultura política andina aporta contexto a la relación entre populismo y democracia.,MMAT_2018,moderada,none; bibliographic evidence does not modify model parameters automatically
R000108,An Internal Validation Assessment of Scale Across Social Vulnerability Index Model Structures (Uncertainty and Global Sensitivity Analysis),Selena Hinojos; Caitlin Grady,2025,10.4211/hs.719a8d719907435dade9102aa9a0fa8d,Métodos y limitaciones,sensibilidad de índice compuesto,sensibilidad,transversal,La incertidumbre de índices compuestos debe propagarse y comunicarse mediante bandas.,METHOD_RELEVANCE,alta,none; bibliographic evidence does not modify model parameters automatically
R000175,El control constitucional de las resoluciones electorales en el Perú,César Landa,2011,10.53557/elecciones.2011.v10n11.02,Discusión,control constitucional electoral,proceso_electoral,recuperacion,El control constitucional en materia electoral integra la arquitectura de contrapesos.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000201,Reforma política : para consolidar el régimen democrático,"Pease García, Henry",2008,10.18800/9789972428531,Discusión,reforma política peruana,funcionamiento_gobierno,recuperacion,La reforma política delimita opciones institucionales plausibles de recuperación.,AACODS,alta,none; bibliographic evidence does not modify model parameters automatically
R000643,Neoconservadorismo na América Latina: o ataque aos direitos sexuais e reprodutivos como elemento da erosão democrática,Joyce Miranda Leão Martins,2022,10.1590/0103-3352.2022.37.254322,Discusión,derechos y erosión regional,libertades_civiles,restrictivo,Las agendas neoconservadoras pueden afectar derechos y libertades en contextos de erosión.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
